blobId,type,target,targetValue,docURL
123333,click,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123334,mouseover,Div,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGRectE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mousedown,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,blur,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,focus,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123335,mouseup,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123336,click,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123337,mousedown,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123338,mouseup,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123339,click,Anchor,,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123340,mouseover,Div,"
                    
                    
                        
                            
                            
                            
                             
              ",http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123341,mouseover,Div,"
                
                  
                      5
                      années archivées
                  
                

                
                    
                    
   ",http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,Input,OK,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,Paragraph,"Mot de passe oublié ? ",http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,Div,"
                
                  
                      5
                      années archivées
                  
                

                
                    
                    
   ",http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,Anchor,"DOSSIERS DOCUMENTAIRES",http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,Div,"
                
                  
                      5
                      années archivées
                  
                

                
                    
                    
   ",http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
